group,participant,time,swimming,flooding,river health,water quality,scenario,subtheme,theme
THG2,Participant 3,00:00:00,3,1,2,4,NA,NA,NA
THG2,Participant 1,00:00:00,4,1,2,3,NA,NA,NA
THG2,Participant 2,00:00:00,2,1,3,4,NA,NA,NA
THG2,Participant 4,00:00:00,2,3,4,1,NA,NA,NA
THG2,Participant 5,00:00:00,2,1,4,3,NA,NA,NA
THG2,Participant 6,00:00:00,1,2,3,4,NA,NA,NA
THG2,Participant 5,00:18:55,1,2,4,3,NA,NA,NA
THG2,Participant 2,00:18:56,1,2,3,4,NA,NA,NA
THG2,Participant 6,00:18:57,1,2,3,4,NA,NA,NA
THG2,Participant 1,00:19:00,4,1,2,3,NA,NA,NA
THG2,Participant 3,00:19:06,NA,NA,NA,NA,Swimming Days,Financial,Economic Considerations
THG2,Participant 3,00:19:06,3,1,2,4,NA,NA,NA
THG2,Participant 6,00:20:55,NA,NA,NA,NA,Water Quality,Dominant,Systemic Causation
THG2,Participant 6,00:20:55,NA,NA,NA,NA,Water Quality,Ecosystem Ripple Effect,Ecological Considerations
THG2,Participant 6,00:20:55,1,2,3,4,NA,NA,NA
THG2,Participant 6,00:20:55,NA,NA,NA,NA,Swimming Days,Subordinate,Systemic Causation
THG2,Participant 6,00:20:55,NA,NA,NA,NA,Water Quality,Wildlife Conservation,Ecological Considerations
THG2,Participant 3,00:21:17,NA,NA,NA,NA,Swimming Days,Dominant,Systemic Causation
THG2,Participant 3,00:21:17,NA,NA,NA,NA,River Health,Dominant,Systemic Causation
THG2,Participant 3,00:21:17,NA,NA,NA,NA,River Health,Watershed Contamination,Ecological Considerations
THG2,Participant 3,00:21:17,NA,NA,NA,NA,Water Quality,Subordinate,Systemic Causation
THG2,Participant 3,00:22:06,4,1,2,3,NA,NA,NA
THG2,Participant 1,00:22:08,4,1,2,3,NA,NA,NA
THG2,Participant 6,00:22:14,NA,NA,NA,NA,Swimming Days,Dominant,Systemic Causation
THG2,Participant 6,00:22:14,NA,NA,NA,NA,Water Quality,Subordinate,Systemic Causation
THG2,Participant 3,00:22:57,4,1,2,3,NA,NA,NA
THG2,Participant 1,00:25:31,NA,NA,NA,NA,Flood Mitigation,Community Wellbeing,Common Good Considerations
THG2,Participant 4,00:25:37,NA,NA,NA,NA,Flood Mitigation,Financial,Economic Considerations
THG2,Participant 4,00:25:37,NA,NA,NA,NA,Flood Mitigation,Safety,Common Good Considerations
THG2,Participant 6,00:26:33,NA,NA,NA,NA,Flood Mitigation,Watershed Contamination,Ecological Considerations
THG2,Participant 6,00:26:33,NA,NA,NA,NA,Flood Mitigation,Safety,Common Good Considerations
THG2,Participant 6,00:26:33,1,3,2,4,NA,NA,NA
THG2,Participant 1,00:28:29,NA,NA,NA,NA,Water Quality,Financial,Economic Considerations
THG2,Participant 1,00:28:29,NA,NA,NA,NA,Water Quality,Watershed Contamination,Ecological Considerations
THG2,Participant 5,00:29:46,NA,NA,NA,NA,Swimming Days,Financial,Economic Considerations
THG2,Participant 5,00:29:46,NA,NA,NA,NA,Water Quality,Substitubility of Service,Economic Considerations
THG2,Participant 4,00:29:56,NA,NA,NA,NA,River Health,Substitubility of Service,Economic Considerations
THG2,Participant 4,00:31:18,NA,NA,NA,NA,Water Quality,Financial,Economic Considerations
